,compounds
357,Ὅμηρος / Omhros
358,ἐκ φόρτος / ek fortos
359,συγκαταγηράσκω / sugkataghraskw
360,καταφαγεῖν / katafagein
361,παρακολλάω / parakollaw
362,ὀξυμαθής / ocumaqhs
363,ἴαμβος / iambos
364,ζωγραφέω / zwgrafew
365,Χοάσπης / Xoasphs
366,ἀδιάκριτος / adiakritos
367,ἐναργής / enarghs
368,ἄντρον / antron
369,μεταλλάω / metallaw
370,ἀκερδής / akerdhs
371,ἴκριον / ikrion
372,βάπτω / baptw
373,ἁφάω / afaw
374,τοπάρχης / toparxhs
375,ἐκπεραίνω / ekperainw
376,σκιά / skia
377,ποία / poia
378,κασαλβάς / kasalbas
379,Τηθύς / Thqus
380,κύος / kuos
381,θηρευτής / qhreuths
382,καταστρώννυμι / katastrwnnumi
383,ἁλύσσω / alussw
384,καταπέσσω / katapessw
385,ἐπιτυχής / epituxhs
386,ὁρκίζω / orkizw
387,βαστέρνη / basternh
388,φοῦρκα / fourka
389,ἀγχίμολος / agximolos
390,καταμαρτυρέω / katamarturew
391,τόνος / tonos
392,μηλόω / mhlow
393,χρωματίζω / xrwmatizw
394,ῥητίνη / rhtinh
395,ψῆγμα / yhgma
396,λαπάζω / lapazw
397,Κύθηρα / Kuqhra
398,πελώριος / pelwrios
399,ἐμπρίω / empriw
400,διδάσκω / didaskw
401,ὀρός / oros
402,ὑπεναντιόω / upenantiow
403,αἴτιος / aitios
404,ἀναβοάω / anaboaw
405,γρῦ / gru
406,κτηδών / kthdwn
407,ψεῦδος / yeudos
408,χειροτεχνέω / xeirotexnew
409,σκυλακοτρόφος / skulakotrofos
410,πότημα / pothma
411,ἐρευθής / ereuqhs
412,σφυρηλατέω / sfurhlatew
413,περιθλάω / periqlaw
414,ἐράστρια / erastria
415,ἐκβάλλω / ekballw
416,συνδιάκονος / sundiakonos
417,τετραγωνίζω / tetragwnizw
418,πάτρων / patrwn
419,ἀρύτω / arutw
420,ἐγκέφαλος / egkefalos
421,ζωοθύτης / zwoquths
422,ἀδμωλέω / admwlew
423,κέρασος / kerasos
424,μυροθήκη / muroqhkh
425,φιλοπράγμων / filopragmwn
426,ἔχθομαι / exqomai
427,θάτερον / qateron
428,ἀνόητος / anohtos
429,διάγω / diagw
430,ἀψευστέω / ayeustew
431,τρακτευτής / trakteuths
432,ἀλουργός / alourgos
433,ἀσχημονέω / asxhmonew
434,διαλέγομαι / dialegomai
435,ἀπογεννάω / apogennaw
436,Ἀμάραντοι / Amarantoi
437,ἔοικα / eoika
438,φιλέω / filew
439,προσελαύνω / proselaunw
440,ὑπερφερής / uperferhs
441,ὀλιγόστιχος / oligostixos
442,δραματουργός / dramatourgos
443,ἴλλω / illw
444,ἐπετειοφόρος / epeteioforos
445,ψιθυριστής / yiqurisths
446,κεμάς / kemas
447,σιτάρχης / sitarxhs
448,εἰσοδεύω / eisodeuw
449,ψυκτήριον / yukthrion
450,σοβαρεύομαι / sobareuomai
451,ἐκτυπόω / ektupow
452,παραδειγματίζω / paradeigmatizw
453,ἁμαξηλατής / amachlaths
454,ἀθήρωμα / aqhrwma
455,ἐπιφάσκω / epifaskw
456,ῥυμός / rumos
457,ἔθος / eqos
458,οὐλόμενος / oulomenos
459,προσανακλίνω / prosanaklinw
460,ὁμοσχήμων / omosxhmwn
461,ὑποδηλόω / upodhlow
462,Βαβυλωνία / Babulwnia
463,μέδομαι / medomai
464,ῥάχετρον / raxetron
465,σμυρίς / smuris
466,νήτη / nhth
467,ἀμβολίη / ambolih
468,ἀποπυριάω / apopuriaw
469,τριθεία / triqeia
470,σιτολόγος / sitologos
471,Σέριφος / Serifos
472,πληρόω / plhrow
473,ἐκπνευματόω / ekpneumatow
474,ἱππάζομαι / ippazomai
475,ἐξισχνόομαι / ecisxnoomai
476,μυρόω / murow
477,ἄθεος / aqeos
478,κροκωτός / krokwtos
479,ἐπιστάζω / epistazw
480,καθυφίημι / kaqufihmi
481,λαρυγγίζω / laruggizw
482,περισφίγγω / perisfiggw
483,διαρραίνω / diarrainw
484,ἐξαγορεύω / ecagoreuw
485,ἀνόσιος / anosios
486,βασανίζω / basanizw
487,παθοποιός / paqopoios
488,πρωτότοκος / prwtotokos
489,πέρνημι / pernhmi
490,ἐφορμάω / eformaw
491,μισθοδοτέω / misqodotew
492,μέταλλον / metallon
493,καθοδηγός / kaqodhgos
494,δίπτερος / dipteros
495,πρακτήρ / prakthr
496,ῥυπαίνω / rupainw
497,ὡρονομέω / wronomew
498,ἰσώνυμος / iswnumos
499,ἀλόγιστος / alogistos
500,Κῶνσος / Kwnsos
501,ἄνθη / anqh
502,προκομίζω / prokomizw
503,λαμπάς / lampas
504,γέρανοι / geranoi
505,βίαιος θάνατος / biaios qanatos
506,Πάρθοι / Parqoi
507,ὑπέχω / upexw
508,ἀπονίζω / aponizw
509,ἀκατάπληκτος / akataplhktos
510,σαρκοποιός / sarkopoios
511,καταπάλλομαι / katapallomai
512,συνωθέω / sunwqew
513,ἐξαναδύομαι / ecanaduomai
514,λόχος / loxos
515,πεζολόγος / pezologos
516,προτάμνω / protamnw
517,ὑγρόπορος / ugroporos
518,συστρατιώτης / sustratiwths
519,ἔνδρομος / endromos
520,προσερεύγομαι / prosereugomai
521,δρασμός / drasmos
522,ἀγχονίζω / agxonizw
523,μότος / motos
524,βλάψις / blayis
525,ἐμπήγνυμι / emphgnumi
526,ποντικός / pontikos
527,ἀστρολογέω / astrologew
528,λεπτουργός / leptourgos
529,Βέμβινα / Bembina
530,μαρμαρόω / marmarow
531,ἀράομαι / araomai
532,στρωφάω / strwfaw
533,ἀμφί / amfi
534,ἀμνήμων / amnhmwn
535,μεθόπωρον / meqopwron
536,ὁπόστος / opostos
