lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
χαλκογένειος,"χαλκός, γένειον",χαλκογένειος,xalkoge/neios,xalkogeneios,"['χαλκός', 'γένειον']","['xalkos', 'geneion']",[],[],χαλκογενειος / xalkogeneios
προπίπτω,"πρό, πίπτω",προπίπτω,propi/ptw,propiptw,"['πρό', 'πίπτω']","['pro', 'piptw']",['πρό'],['pro'],προπιπτω / propiptw
μεσοπλεύριος,"μέσος, πλευρά",μεσοπλεύριος,mesopleu/rios,mesopleurios,"['μέσος', 'πλευρά']","['mesos', 'pleura']",[],[],μεσοπλευριος / mesopleurios
δύσκοπος,"δυσ-, κόπτω",δύσκοπος,du/skopos,duskopos,"['δυσ', 'κόπτω']","['dus', 'koptw']",['δυσ'],['dus'],δυσκοπος / duskopos
ἀγρυπνία,"ἀγρός, ὕπνος",ἀγρυπνία,a)grupni/a,agrupnia,"['ἀγρός', 'ὕπνος']","['agros', 'upnos']",[],[],αγρυπνια / agrupnia
ἀγγελομίμητος,"ἄγγελος, μιμέομαι",ἀγγελομίμητος,a)ggelomi/mhtos,aggelomimhtos,"['ἄγγελος', 'μιμέομαι']","['aggelos', 'mimeomai']",[],[],αγγελομιμητος / aggelomimhtos
τυμπανισμός,τυμπανίζω,τυμπανισμός,tumpanismo/s,tumpanismos,['τυμπανίζω'],['tumpanizw'],[],[],τυμπανισμος / tumpanismos
Ἴκαρος 1,,Ἴκαρος,*)/Ikaros,Ikaros,[],[],[],[],Ικαρος / Ikaros
ἐπιπροσγίγνομαι,"ἐπί, πρός, γίγνομαι",ἐπιπροσγίγνομαι,e)piprosgi/gnomai,epiprosgignomai,"['ἐπί', 'πρός', 'γίγνομαι']","['epi', 'pros', 'gignomai']","['ἐπί', 'πρός']","['epi', 'pros']",επιπροσγιγνομαι / epiprosgignomai
ἀνάγλυφος,,ἀνάγλυφος,a)na/glufos,anaglufos,[],[],[],[],αναγλυφος / anaglufos
Καρηνός,,Καρηνός,*Karhno/s,Karhnos,[],[],[],[],Καρηνος / Karhnos
νεκρόπολις,"νεκρός, πόλις",νεκρόπολις,nekro/polis,nekropolis,"['νεκρός', 'πόλις']","['nekros', 'polis']",[],[],νεκροπολις / nekropolis
δάφνη,cf. Lat. laurus?,δάφνη,da/fnh,dafnh,[],[],[],[],δαφνη / dafnh
πηνάομαι,,πηνάομαι,phna/omai,phnaomai,[],[],[],[],πηναομαι / phnaomai
κατασιγαστέον,"κατά, σιγάζω",κατασιγαστέον,katasigaste/on,katasigasteon,"['κατά', 'σιγάζω']","['kata', 'sigazw']",['κατά'],['kata'],κατασιγαστεον / katasigasteon
ζοφοειδής,"ζόφος, εἶδος",ζοφοειδής,zofoeidh/s,zofoeidhs,"['ζόφος', 'εἶδος']","['zofos', 'eidos']",[],[],ζοφοειδης / zofoeidhs
ἀθεσμόβιος,"ἄθεσμος, βίος",ἀθεσμόβιος,a)qesmo/bios,aqesmobios,"['ἄθεσμος', 'βίος']","['aqesmos', 'bios']",[],[],αθεσμοβιος / aqesmobios
