lemma;derivation;meaning;lsj_ulr;pos;Clean
σαυρωτήρ;['σαύρα'];"- ferrule; spike";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=saurwth/r;noun;?
συσφιγκτήρ;['σύν', 'σφίγγω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=susfigkth/r;noun;yes
μηλοβοτήρ;['μῆλον', 'βόσκω'];- shepherd;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mhloboth/r;noun;yes
γομφωτήρ;['γομφόω'];"- a ship-builder
- surgical instrument for excising bone";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=gomfwth/r;noun;yes
ἐκπορθήτωρ;['ἐκ', 'πορθέω'];- waster, destroyer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)kporqh/twr;noun;yes
ὀψωνάτωρ;[];"- caterer; obsonator";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)ywna/twr;noun;yes
σημάντωρ;['σημαίνω'];"- one who gives a signal, leader, commander; driver; herdsman";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=shma/ntwr;noun;yes
καυστήρ;['καίω'];- cauterizing apparatus;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kausth/r;noun;yes
μασητήρ;['μασάομαι'];"- chewer; chewing";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mashth/r;noun;yes
δησέρτωρ;[];;;;yes
μνηστήρ;['μνάομαι'];- wooer, suitor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mnhsth/r;noun;yes
σκουβίτωρ;[];;;;yes
μεγαλογάστωρ;['μέγας', 'γαστήρ'];- big-bellied;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=megaloga/stwr;noun;no
δραστήρ;['δράω'];- cook;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=drasth/r;noun;yes
ὀλβιογάστωρ;['ὄλβιος', 'γαστήρ'];- whose happiness is in his belly, a belly-god;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)lbioga/stwr;noun;no
κινητήρ;['κινέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kinhth/r;noun;yes
ἀχυροπράκτωρ;['ἄχυρον', 'πράκτωρ'];"- collector of chaff; of the tax thereon)";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)xuropra/ktwr;noun;yes
μοδεράτωρ;[];;;;yes
διαδέκτωρ;['διά', 'δέχομαι'];- inheritor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diade/ktwr;noun;yes
Ἱπποκράτωρ;[];;;noun;no
ποτήρ;['πίνω'];- drinking-cup;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poth/r;noun;yes
κομιστήρ;['κομίζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=komisth/r;noun;yes
ὁμομήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o(momh/twr;noun;no
ταμιεύτωρ;['ταμιεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tamieu/twr;noun;yes
γενετήρ;[];- parents;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=geneth/r;noun;yes
ἐξυμενιστήρ;['ἐξ', 'ὐμενίζω'];"- flaying; dissecting knife";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)cumenisth/r;noun;yes
ὀϊστευτήρ;['ὀϊστεύω'];;;noun;yes
ἐπιδέκτωρ;['ἐπί', 'δέχομαι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pide/ktwr;noun;yes
λῃστήρ;['λῃστής'];"- robber; pirate";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lh|sth/r;noun;yes
Προτρυγητήρ;[];;;noun;no
Δημήτηρ;[];"- Aus Lydien; Griechische Dialekte; Demeter; h.Cer";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*dhmh/thr;noun;no
βασκαντήρ;[];;;;yes
ἐκσκουβίτωρ;[];;;;yes
προγενήτωρ;[];;;;yes
Ἀκέστωρ;[];;;noun;no
σαγηνευτήρ;['σαγηνεύω'];- one who fishes with the;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=saghneuth/r;noun;yes
πιστήρ;['πιπίσκω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pisth/r;noun;yes
εὐρυγάστωρ;['εὐρύς', 'γαστήρ'];- big-bellied;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)ruga/stwr;noun;no
κυνηγητήρ;['κύων', 'ἄγω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kunhghth/r;noun;yes
συνθοινάτωρ;['σύν', 'θοίνη'];- partaker in a feast;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sunqoina/twr;noun;yes
Δμήτωρ;[];;;noun;no
